S no,Date,Region,Cumulative  tests performed,Cumulative  Test positive,Tests  performed in last 24 hours,Still admitted,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Expired status
235,43952,KP,18504,2627,1052,616,654,146,1211,1052,Dangerour
236,43952,Punjab,82651,6340,2737,1703,1921,106,2610,3689,Dangerour
237,43952,Sindh,54377,6053,2587,1246,1222,112,3473,2587,Dangerour
238,43953,AJK,2054,66,16,23,0,0,0,16,Normal
239,43953,Balochistan,9821,1136,386,90,847,16,1,318,Alert
240,43953,GB,4146,340,214,10,72,3,0,220,Normal
241,43953,ICT,11689,365,495,15,302,4,0,495,Normal
242,43953,KP,19489,2799,985,626,1322,161,12,985,Dangerour
243,43953,Punjab,88899,6733,3684,1803,2610,115,6,3460,Dangerour
244,43953,Sindh,57761,6675,3384,1218,4044,118,16,3384,Dangerour
245,43955,AJK,2227,71,42,27,0,0,0,42,Normal
246,43955,Balochistan,10326,1218,317,83,917,21,0,92,Dangerour
247,43955,GB,4439,364,146,10,91,3,0,268,Normal
248,43955,ICT,12704,415,415,16,339,4,2,415,Normal
249,43955,KP,21909,3129,1338,603,1535,180,9,1338,Dangerour
250,43955,Punjab,96854,7524,4232,1958,2775,124,7,6021,Dangerour
251,43955,Sindh,64052,7465,3032,1142,4638,130,17,3032,Dangerour
252,43956,AJK,2281,71,54,22,0,0,0,54,Normal
253,43956,Balochistan,10633,1321,271,89,1014,21,2,183,Dangerour
254,43956,GB,4581,372,142,10,80,3,0,91,Normal
255,43956,ICT,13697,464,993,21,383,4,4,993,Normal
256,43956,KP,22692,3288,783,669,1578,185,14,783,Dangerour
257,43956,Punjab,101897,8103,5043,2472,2779,136,7,6625,Dangerour
258,43956,Sindh,66623,7882,2571,1122,4994,137,16,2571,Dangerour
259,43957,AJK,2391,76,110,22,54,0,0,110,Normal
260,43957,Balochistan,11496,1495,863,67,206,21,1201,224,Dangerour
261,43957,GB,4748,386,167,22,282,3,79,124,Normal
262,43957,ICT,14585,485,888,18,56,4,407,888,Normal
263,43957,KP,23562,3499,870,633,875,194,1797,915,Dangerour
264,43957,Punjab,106927,8420,5030,2412,3073,156,2779,5378,Dangerour
265,43957,Sindh,68873,8189,2250,1231,1671,148,5139,3350,Dangerour
266,43958,AJK,2471,76,80,19,57,0,0,80,Normal
267,43958,Balochistan,12289,1659,793,67,209,22,1361,136,Dangerour
268,43958,GB,4876,388,128,21,288,3,76,281,Normal
269,43958,ICT,15607,521,1022,19,56,4,442,1022,Normal
270,43958,KP,24984,3712,1422,671,939,203,1899,1422,Dangerour
271,43958,Punjab,112007,9077,5080,2939,3184,175,2779,6487,Dangerour
272,43958,Sindh,72544,8640,3671,1224,1731,157,5528,2571,Dangerour
273,43959,AJK,2518,78,47,20,58,0,0,47,Normal
274,43959,Balochistan,13241,1725,952,44,209,24,1448,235,Dangerour
275,43959,GB,5007,394,131,13,292,3,86,93,Normal
276,43959,ICT,16666,558,1059,18,72,4,464,1059,Normal
277,43959,KP,26531,3956,1547,704,984,209,2059,1547,Dangerour
278,43959,Punjab,117206,10033,5199,3009,4062,183,2779,6383,Dangerour
279,43959,Sindh,76078,9093,3534,1211,1853,171,5858,3534,Dangerour
280,43960,AJK,2668,79,150,19,60,0,0,150,Normal
281,43960,Balochistan,13771,1876,530,44,222,24,1586,117,Dangerour
282,43960,GB,5135,421,128,12,298,3,108,228,Normal
283,43960,ICT,17657,609,991,29,72,4,504,991,Normal
284,43960,KP,27990,4327,1459,806,1033,221,2267,1459,Dangerour
285,43960,Punjab,121194,10471,3988,3370,4131,191,2779,3920,Dangerour
286,43960,Sindh,81610,9691,5532,1154,1940,175,6422,5532,Dangerour
287,43961,AJK,2780,86,112,26,60,0,0,112,Normal
288,43961,Balochistan,14374,1935,603,28,242,24,1641,122,Dangerour
289,43961,GB,5310,430,175,13,303,4,110,97,Normal
290,43961,ICT,18755,641,1098,29,72,5,535,1098,Normal
291,43961,KP,29202,4509,1212,602,1086,234,2587,1212,Dangerour
292,43961,Punjab,125988,11093,4794,3882,4240,192,2779,4670,Dangerour
293,43961,Sindh,87108,10771,5498,1139,2020,180,7432,5498,Dangerour
294,43962,AJK,2854,86,74,22,64,0,0,74,Normal
295,43962,Balochistan,14687,2017,313,28,242,26,1721,293,Dangerour
296,43962,GB,5480,442,170,5,304,4,129,77,Normal
297,43962,ICT,19532,679,777,28,72,6,573,777,Normal
298,43962,KP,30472,4669,1270,641,1126,245,2657,1270,Dangerour
299,43962,Punjab,130546,11568,4558,4269,4323,197,2779,2533,Dangerour
300,43962,Sindh,91323,11480,4215,1237,2081,189,7973,4215,Dangerour
301,43963,AJK,2935,86,81,21,0,1,0,81,Normal
302,43963,Balochistan,15323,2061,636,31,1761,27,1761,277,Dangerour
303,43963,GB,5619,457,139,12,121,4,121,153,Normal
304,43963,ICT,20201,716,669,36,602,6,602,669,Normal
305,43963,KP,31606,4875,1134,649,2713,257,2713,1134,Dangerour
306,43963,Punjab,135114,11869,4568,4422,2784,211,2784,3699,Dangerour
307,43963,Sindh,95053,12017,3730,1490,8178,200,8178,3730,Dangerour
308,43964,AJK,3037,88,102,19,0,1,0,102,Normal
309,43964,Balochistan,15751,2158,428,31,1844,27,1844,267,Dangerour
310,43964,GB,5748,475,129,13,127,4,127,11,Normal
311,43964,ICT,21257,759,1056,29,632,6,632,1056,Normal
312,43964,KP,32577,5021,971,589,2860,267,2860,971,Dangerour
313,43964,Punjab,140212,13225,5098,5700,2780,214,2780,7159,Dangerour
314,43964,Sindh,99117,12610,4064,1495,8668,218,8668,4064,Dangerour
315,43965,AJK,3245,91,-166,21,69,1,0,208,Normal
316,43965,Balochistan,16062,2239,-539,31,326,27,1855,129,Dangerour
317,43965,GB,5884,482,-143,12,337,4,129,172,Normal
318,43965,ICT,22287,822,-1122,26,100,6,690,1030,Normal
319,43965,KP,34352,5252,-1553,572,1392,275,3013,1685,Dangerour
320,43965,Punjab,145577,13561,-5670,5912,4636,223,2790,6567,Dangerour
321,43965,Sindh,103343,13341,-4487,1432,2835,234,8840,4226,Dangerour
322,43966,AJK,3411,105,374,28,76,1,0,166,Normal
